task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Model Fitting,2024-04-29T15:40:44,assignment2_logistic_regression_subtasks,3310d499-c2cb-4ea3-aa32-457db999bb9f,0.12613630294799805,1.1611706123437477e-06,9.086639633638684e-06,42.5,0.0,141.20075225830078,1.500243941942851e-06,0,4.935758077499486e-06,6.436002019442336e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
Predicting,2024-04-29T15:40:44,assignment2_logistic_regression_subtasks,3310d499-c2cb-4ea3-aa32-457db999bb9f,0.005388975143432617,2.9337867817543828e-08,6.843822933181054e-06,42.5,0.0,141.20075225830078,4.713998900519469e-08,0,1.1547054773473076e-07,1.6261053673992567e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
